"recordation_number","location_recordation_number","well_id","appendix_name","owner","x_stateplane_nad27_ca_zone7_ft","y_stateplane_nad27_ca_zone7_ft","ground_surface_ft_msl","production_2014_15_afy","gflow_pumping_ft3_day_positive_extraction","modflow_well_ft3_day_negative_extraction","production_pdf_page","location_pdf_page"
"8000160","8000160","B5D","B5D","San Gabriel Valley Water Company","4287303","4132609","294","88","10502.137","-10502.137","344","221"
"8000205","8000205","B5E","B5E","San Gabriel Valley Water Company","4287347","4132799","284","4705","561506.301","-561506.301","345","221"
"8000068","98000068","B7C","B7C","San Gabriel Valley Water Company","4296466","4125884","305","551","65757.699","-65757.699","344","222"
"8000122","8000122","B7E","B7E","San Gabriel Valley Water Company","4296482","4125690","305","175","20884.932","-20884.932","344","221"
"8000099","98000099","B9B","B9B","San Gabriel Valley Water Company","4295840","4127891","307","280","33415.890","-33415.890","344","222"
"1900725","1900725","G4A","G4A","San Gabriel Valley Water Company","4263211","4137608","281","216","25777.973","-25777.973","344","221"
"1902971","19029712","SONOCO2","2","Sonoco Products Company","4289821","4131088","298","142","16946.630","-16946.630","345","222"
"1901679","1901679","GRAVES 2","GRAV 2","South Pasadena, City of","4248149","4152541","551","244","29119.562","-29119.562","345","222"
"1901682","1901682","WILSON 3","3 WIL","South Pasadena, City of","4255088","4151673","490","2556","305039.342","-305039.342","345","222"
"1903086","1903086","WILSON 4","4 WIL","South Pasadena, City of","4255079","4151660","485","909","108482.301","-108482.301","345","222"
"1900510","1900510","1SG","1 S G","Southern California Water Company - San Gabriel","4260820","4134104","264","1521","181519.890","-181519.890","345","222"
"1900511","1900511","2SG","2 S G","Southern California Water Company - San Gabriel","4260692","4134128","260","491","58597.151","-58597.151","346","222"
"8000111","8000111","4JEF","4 JEF","Southern California Water Company - San Gabriel","4286403","4155358","374","889","106095.452","-106095.452","346","223"
"1902024","1902024","ENCINITAS 1","1 ENC","Southern California Water Company - San Gabriel","4267805","4144707","332","500","59671.233","-59671.233","346","223"
"1902035","1902035","ENCINITAS 2","2 ENC","Southern California Water Company - San Gabriel","4267710","4144735","331","653","77930.630","-77930.630","346","223"
"8000073","8000073","ENCINITAS 3","3 ENC","Southern California Water Company - San Gabriel","4267591","4144760","331","691","82465.644","-82465.644","346","223"
"1902034","1902034","FARNA 1","1 FAR","Southern California Water Company - San Gabriel","4281250","4148627","327","349","41650.521","-41650.521","346","223"
"1902948","1902948","FARNA 2","2 FAR","Southern California Water Company - San Gabriel","4280959","4148748","325","104","12411.616","-12411.616","346","223"
"1902027","1902027","PERSIMMON 1","1 PER","Southern California Water Company - San Gabriel","4277573","4146443","314","44","5251.068","-5251.068","346","223"
"1900514","1900514","SAXON 3","3 SAX","Southern California Water Company - San Gabriel","4259048","4139266","310","145","17304.658","-17304.658","346","222"
"8000146","8000146","SAXON 4","4 SAX","Southern California Water Company - San Gabriel","4259037","4139139","177","362","43201.973","-43201.973","346","223"
"1902842","1902842","ART 3","ART-3","Southern California Water Company-San Dimas","4349792","4157239","1060","9","1074.082","-1074.082","345","223"
"1902148","1902148","BAS-3","BAS-3","Southern California Water Company-San Dimas","4350312","4157111","1090","421","50243.178","-50243.178","345","223"
"1902149","1902149","BAS-4","BAS-4","Southern California Water Company-San Dimas","4349744","4156673","1060","83","9905.425","-9905.425","345","223"
"1902268","1902268","COL-4","COL-4","Southern California Water Company-San Dimas","4334703","4154508","785","425","50720.548","-50720.548","345","223"
"1902150","1902150","HWY -INACTIVE","HIGHWAY","Southern California Water Company-San Dimas","4350535","4157449","1060","473","56448.986","-56448.986","345","223"
"1902287","31902287","MALONE","MALON","Southern California Water Company-San Dimas","4352831","4161319","1155","397","47378.959","-47378.959","345","223"
"8000132","8000132","NEW SOUTH","NEW SO","Sterling Mutual Water Company","4284442","4141452","313","54","6444.493","-6444.493","346","223"
"1902096","1902096","NORTH","NORTH","Sterling Mutual Water Company","4284365","4141529","316","59","7041.205","-7041.205","346","223"
"8000181","8000181","121-W1","121W1","Suburban Water Systems","4307010","4135909","380","1225","146194.521","-146194.521","346","224"
"8000145","8000145","140-W5","140W5","Suburban Water Systems","4298067","4133652","331","1182","141062.795","-141062.795","346","224"
"8000183","8000183","142-W2","142W2","Suburban Water Systems","4304897","4135872","370","2050","244652.055","-244652.055","346","224"
"8000077","8000077","147-W3","147W3","Suburban Water Systems","4297748","4127752","310","1927","229972.932","-229972.932","346","224"
"8000207","8000207","151-W2","151W2","Suburban Water Systems","4302653","4133244","348","2907","346928.548","-346928.548","347","224"
"8000208","8000208","201-W9","201W9","Suburban Water Systems","4272476","4121177","250","1725","205865.753","-205865.753","347","224"
"8000210","8000210","201W10","201W10","Suburban Water Systems","4272213","4121184","250","765","91296.986","-91296.986","347","224"
"8000198","8000198","8000198","201W8","Suburban Water Systems","4273227","4121862","250","2366","282364.274","-282364.274","347","224"
"1900106","1900106","IRWINDALE-1 (BLU","IRW-1","Sully-Miller Contracting Co. (Blue Diamond Mat'l)","4293632","4154244","400","298","35564.055","-35564.055","347","224"
"1903062","1903062","IRWINDALE-2 (BLU","IRW-2","Sully-Miller Contracting Co. (Blue Diamond Mat'l)","4293354","4154680","406","17","2028.822","-2028.822","347","224"
"8000157","8000157","13","13","Sunny Slope Water Company","4263307","4153761","471","416","49646.466","-49646.466","347","225"
"1900026","1900026","8","8","Sunny Slope Water Company","4263086","4156231","503","1305","155741.918","-155741.918","347","224"
"1902792","1902792","9","9","Sunny Slope Water Company","4263100","4155939","496","516","61580.712","-61580.712","347","224"
"8000051","8000051","1","1","Valencia Heights Water Company","4321575","4137696","472","1328","158486.795","-158486.795","347","225"
"1900027","1900027","EAST MAINE-1","E MAIN","Valley County Water District","4299679","4151064","424","1775","211832.877","-211832.877","347","225"
"1900032","1900032","JOANBRIDGE EAST -6","E JOAN (NIXON)","Valley County Water District","4298876","4151224","410","1490","177820.274","-177820.274","347","225"
"1902356","1902356","JOANBRIDGE WEST -3WT","W JOAN (NIXON)","Valley County Water District","4298680","4151172","423","2753","328549.808","-328549.808","348","225"
"8000060","8000060","SA1-3","LANTE","Valley County Water District","4304321","4151229","452","2481","296088.658","-296088.658","348","225"
"1900028","1900028","WEST MAINE-2","W MAIN","Valley County Water District","4299521","4151081","424","1052","125548.274","-125548.274","347","225"
"1900364","1900364","2","2","Valley View Mutual Water Company","4294395","4148307","370","624","74469.699","-74469.699","348","225"
"1901749","1901749","13","13","Whittier, City of","4272226","4123238","215","262","31267.726","-31267.726","348","225"
"8000071","8000071","15","15","Whittier, City of","4271731","4123170","217","974","116239.562","-116239.562","348","225"
"8000110","8000110","16","16","Whittier, City of","4271727","4122397","213","3556","424381.808","-424381.808","348","225"
"1903072","1903072","5R","5R","Woodland Farms, Inc.","4285070","4129910","292","122","14559.781","-14559.781","349","225"
